RECORDID,gdelt_score,gold_labels
20200811-38496,-0.486854917234664,-1
20200805-72468,3.24909747292419,0
20200817-17810,-5.26315789473684,-1
20200727-7699,-4.5662100456621,-1
20200815-7456,-8.59375,-1
20200811-48764,-4.85651214128035,1
20200423-53523,-0.0601322910402886,1
20200521-28456,1.76348547717842,0
20200828-12262,-1.92023633677991,0
20200903-22043,-1.19840213049268,1
20200707-29697,0.275482093663912,1
20200726-30138,-2.05761316872428,0
20200321-18921,0.79185520361991,-1
20200717-16663,-5.32319391634981,-1
20200817-80618,-0.332225913621263,0
20200519-8463,1.92307692307692,1
20200612-83410,-5.52845528455285,-1
20200402-55252,-1.09289617486339,-1
20200629-56671,-4.76190476190476,-1
20200502-46235,-8.1039755351682,-1
20200305-47394,-0.303030303030303,0
20200715-49790,-1.94174757281553,-1
20200726-4304,1.10864745011086,-1
20200529-29585,-2.05047318611987,0
20200411-53362,-3.01003344481605,-1
20200923-83178,0.819672131147541,0
20200813-28739,0.634632819582956,0
20200817-74368,-3.71024734982332,-1
20200828-39767,-1.71358629130967,-1
20200519-31518,-2.54010695187166,1
20200803-67808,-1.24333925399645,-1
20200902-55512,-1.45228215767635,-1
20200508-18323,-3.48902644907147,-1
20200826-19897,-2.05278592375367,-1
20200412-483,0.352112676056338,1
20200721-56103,-3.92390011890606,-1
20200416-7636,-1.31578947368421,1
20200825-86299,-2.66393442622951,-1
20200914-82019,-2.28136882129278,-1
20200628-16896,-0.28957528957529,0
20200319-46338,-3.22812051649928,-1
20200620-46413,0.925925925925926,1
20200313-93128,-0.883652430044183,-1
20200704-6465,-2.07852193995381,-1
20200626-10304,-8.02139037433155,-1
20200717-14318,-1.4701282452299,1
20200714-72292,-0.255754475703325,1
20200804-55169,-2.04081632653061,-1
20200430-74926,-3.18627450980392,-1
20200724-162,0.211416490486258,1
20200907-22009,-3.37001375515818,-1
20200701-45171,-3.30812854442344,-1
20200829-3979,-2.10084033613445,0
20200702-47291,-0.427350427350428,1
20200715-45751,-0.489715964740451,0
20200825-6060,1.73160173160173,-1
20200708-74951,-1.36986301369863,1
20200510-37193,-0.784313725490196,1
20200630-55150,-1.69491525423729,-1
20200518-33682,-4.15676959619952,-1
20200820-92674,0.443458980044346,-1
20200903-31220,-4.35835351089588,-1
20200606-7326,-6.43015521064302,-1
20200403-9336,-2.77777777777778,-1
20200912-39917,-2.95698924731183,-1
20200708-54822,1.7910447761194,-1
20200704-1586,2.9585798816568,1
20200811-25618,-4.76190476190476,-1
20200828-70267,-4.10798122065728,-1
20200328-979,-7.12328767123288,-1
20200723-88363,0.571428571428572,0
20200630-17392,0.662251655629139,0
20200612-86365,-2.35294117647059,0
20200803-34821,-5.47945205479452,0
20200329-40021,0.826446280991735,-1
20200324-93223,-1.18617844249613,-1
20200817-27703,-1.40845070422535,1
20200805-51113,-1.41969831410825,0
20200323-78536,-1.85873605947955,-1
20200323-98425,-3.21428571428571,-1
20200813-6186,-1.45208131655373,-1
20200708-19978,-2.56410256410256,-1
20200415-9749,-0.550964187327824,0
20200810-22857,-4.40771349862259,-1
20200918-7322,2.73972602739726,1
20200518-31715,-1.50753768844221,-1
20200726-13689,-5.65110565110565,-1
20200917-76944,-2.9940119760479,1
20200714-48700,-2.60366441658631,-1
20200720-56402,-2.32558139534884,1
20200811-76623,-0.96830985915493,-1
20200526-84566,0.538599640933572,0
20200822-38653,-5.8659217877095,-1
20200902-69224,1.94552529182879,1
20200125-2629,-3.26086956521739,-1
20200508-66627,-0.873907615480649,1
20200701-64365,-2.51572327044025,0
20200619-67693,0.0,0
20200708-46486,0.374531835205993,1
20200602-42631,0.641025641025641,0
20200327-100325,-4.44444444444444,-1
20200811-25455,2.69607843137255,1
20200928-57097,-2.11267605633803,-1
20200322-46384,0.617283950617284,-1
20200519-40420,-8.35509138381201,-1
20200730-11085,-5.97826086956522,-1
20200724-17238,-1.97368421052632,0
20200131-56069,-2.80373831775701,1
20200311-75054,-4.57516339869281,-1
20200331-108191,-8.43881856540084,-1
20200521-99155,-3.98126463700234,-1
20200528-2661,-3.66863905325444,-1
20200419-37364,-0.120192307692307,-1
20200307-39635,-2.17391304347826,-1
20200423-69189,0.510204081632653,0
20200307-50502,3.73001776198934,1
20200124-12819,-2.11864406779661,-1
20200628-2059,-3.47593582887701,0
20200515-23983,-4.21585160202361,-1
20200817-14873,-1.15606936416185,-1
20200327-83207,-3.1767955801105,-1
20200403-84377,-3.24675324675325,0
20200831-46268,-1.07066381156317,-1
20200222-39640,-2.95138888888889,-1
20200811-88994,-3.51758793969849,0
20200930-51596,2.1865889212828,0
20200408-53846,-1.53061224489796,0
20200827-75543,-1.64705882352941,0
20200616-21877,-2.43506493506493,1
20200207-43420,-1.96078431372549,-1
20200422-56654,-2.11946050096339,1
20200805-4322,-11.3131313131313,-1
20200412-449,-4.93096646942801,-1
20200812-40639,-0.581395348837209,0
20200514-85361,-0.640204865556978,-1
20200507-32562,-3.34538878842676,-1
20200617-2292,-1.82815356489945,0
20200507-36055,-3.03951367781155,-1
20200423-14478,-2.25,1
20200313-94949,-1.77514792899408,-1
20200417-31018,-0.641025641025641,-1
20200713-62493,-6.92640692640693,-1
20200319-66041,-5.08474576271186,-1
20200806-20796,-0.595238095238095,1
20200228-19383,-4.68085106382979,-1
20200616-36213,-4.26356589147287,-1
20200914-83448,-3.96301188903567,-1
20200701-48015,-2.21674876847291,0
20200707-79303,-1.86170212765957,-1
20200311-47558,-4.15335463258786,0
20200715-78740,-6.09756097560976,-1
20200416-70810,-1.52284263959391,1
20200904-71746,-3.57142857142857,-1
20200626-80246,-0.488599348534202,0
20200403-21277,-3.63636363636364,0
20200716-47223,-2.48380129589633,-1
20200714-19397,-2.06896551724138,-1
20200715-56541,1.04602510460251,1
20200722-8766,-0.45662100456621,-1
20200522-73700,-2.09059233449477,-1
20200910-41749,-6.83430045132173,-1
20200520-37493,3.41463414634146,1
20200401-71011,-2.04081632653061,-1
20200401-71790,-3.98671096345515,0
20200429-38055,-0.848896434634975,0
20200331-27725,-0.298804780876494,0
20200825-47605,1.53846153846154,1
20200720-31312,-4.7438330170778,-1
20200820-29864,-1.20724346076459,0
20200314-14927,-0.420168067226891,-1
20200722-99166,-4.66666666666667,-1
20200403-49514,1.03492884864166,1
20200921-24725,6.33484162895928,1
20200210-91502,-4.24403183023873,-1
20200807-74762,-4.80295566502463,1
20200416-68576,-2.50569476082005,-1
20200209-13236,0.0,-1
20200921-20288,-6.47887323943662,-1
20200908-18623,-4.48343079922027,-1
20200314-34070,-1.99146514935989,-1
20200606-44000,-1.15321252059308,-1
20200824-34649,-2.33463035019455,-1
20200811-87185,4.65116279069768,1
20200220-10739,-0.72992700729927,1
20200721-34357,2.38611713665944,1
20200429-93784,-2.77456647398844,1
20200914-67239,-6.39269406392694,-1
20200509-7491,0.0,0
20200415-1836,0.997506234413965,0
20200308-34636,-7.74647887323944,-1
20200630-20718,-1.63398692810458,0
20200416-20671,-3.45334313005143,0
20200826-13378,-2.37226277372263,0
20200731-19888,-1.69491525423729,-1
20200128-98560,-7.00280112044818,-1
20200803-64818,-5.64971751412429,-1
20200604-81862,-2.1875,-1
20200319-9062,-1.93285859613428,0
20200407-94804,-2.04248366013072,1
20200622-67364,0.164744645799011,1
20200218-56868,-2.00364298724954,-1
20200711-22579,-2.01342281879195,-1
20200426-20673,-1.66886253842776,-1
20200125-20160,-2.08333333333333,0
20200324-30490,-1.39720558882236,1
20200203-90775,-3.16455696202532,-1
20200821-32478,-0.756143667296787,0
20200417-72606,-0.355871886120997,-1
20200416-43635,0.396510705789056,1
20200912-13356,-4.29799426934097,-1
20200126-20875,-0.726141078838174,-1
20200322-38825,-2.78293135435993,-1
20200315-37764,-3.52941176470588,-1
20200627-8898,-3.59550561797753,-1
20200919-19541,-3.42245989304813,-1
20200731-53555,-5.82191780821918,-1
20200303-89314,-3.42368045649073,-1
20200408-45080,-1.46103896103896,1
20200318-2859,-5.12820512820513,-1
20200806-38033,3.44827586206897,0
20200328-41300,-6.88018979833926,-1
20200206-12015,-2.00803212851406,1
20200505-4038,-0.595744680851064,1
20200302-51268,-6.54911838790932,-1
20200504-59603,2.21238938053097,1
20200505-66007,-6.06617647058823,-1
20200806-55154,0.903614457831325,1
20200825-16946,3.32225913621263,1
20200219-65693,-2.86975717439294,0
20200727-78276,-3.32871012482663,0
20200929-58409,-3.27586206896552,-1
20200215-32163,-2.7823240589198,1
20200628-11725,-3.4956304619226,-1
20200814-17005,-1.33843212237094,0
20200626-31419,0.862068965517241,1
20200527-74042,1.42450142450142,1
20200529-35072,-3.51816443594646,-1
20200824-74622,-2.50941028858218,-1
20200501-62795,-1.75438596491228,-1
20200924-57783,3.49854227405248,1
20200610-18774,-1.33079847908745,-1
20200217-13808,-1.82481751824818,-1
20200629-82025,-5.12129380053908,-1
20200705-3848,-3.44827586206897,-1
20200311-45651,-3.88059701492537,-1
20200505-42799,-2.75319567354966,-1
20200213-78120,-3.78947368421053,-1
20200514-3532,-4.34782608695652,1
20200523-50137,-5.5793991416309,0
20200818-24976,-1.58102766798419,-1
20200719-12911,0.0,-1
20200326-95918,-2.53623188405797,-1
20200323-90597,-8.04020100502512,-1
20200423-72011,1.59362549800797,0
20200709-16842,-4.02684563758389,-1
20200617-80188,-0.264550264550265,-1
20200404-31908,1.26353790613718,0
20200805-61218,-5.33707865168539,-1
20200504-83451,4.3859649122807,1
20200910-57371,-2.97619047619048,-1
20200505-79442,2.18340611353712,1
20200728-39326,-0.408997955010225,0
20200204-9326,-2.9940119760479,-1
20200229-26011,0.847457627118644,-1
20200523-29969,-5.52147239263804,-1
20200617-41946,-2.20125786163522,-1
20200507-35207,1.04477611940298,1
20200719-39050,0.593471810089021,1
20200401-15695,0.694444444444445,0
20200307-46258,-3.72340425531915,0
20200125-18724,-7.32484076433121,-1
20200502-39117,-13.0232558139535,-1
20200129-3466,-4.36893203883495,-1
20200821-25984,-3.53260869565217,-1
20200428-4094,-3.08483290488432,-1
20200622-33970,-0.641025641025642,0
20200506-86351,2.12765957446809,1
20200318-19270,-1.01010101010101,0
20200307-1231,-5.88235294117647,-1
20200905-49019,-5.60975609756098,-1
20200407-31202,-1.07883817427386,-1
20200518-16769,0.0,1
20200615-1544,1.47275405007364,1
20200622-57145,-2.24403927068724,-1
20200709-61592,-2.40963855421687,-1
20200430-20040,-3.3033033033033,0
20200310-56405,-3.48837209302326,-1
20200131-62826,-5.98802395209581,-1
20200826-62290,-1.60295930949445,-1
20200325-104622,-1.22699386503067,0
20200320-17373,-4.72027972027972,-1
20200414-5827,-2.38095238095238,-1
20200522-78423,-2.87206266318538,0
20200403-4733,-3.17164179104478,1
20200525-45538,1.01781170483461,1
20200722-19452,-10.6870229007634,-1
20200820-55152,0.485436893203883,0
20200530-12576,-3.98899587345255,-1
20200714-62025,-1.95195195195195,-1
20200804-65286,5.20694259012016,1
20200813-85773,-4.24757281553398,0
20200622-1665,1.80806675938804,1
20200305-88230,-0.421940928270042,0
20200316-17915,0.0,-1
20200917-826,-2.72851296043656,-1
20200923-55505,-2.13592233009709,-1
20200715-28129,6.30630630630631,1
20200329-8004,1.69491525423729,-1
20200724-53335,-1.73661360347323,-1
20200516-34974,-1.1441647597254,-1
20200409-82354,-1.33689839572193,-1
20200818-74477,-1.0752688172043,-1
20200405-38797,1.13221329437546,1
20200618-54802,-2.18181818181818,-1
20200420-5018,-8.40579710144928,-1
20200627-36665,-2.8604118993135,-1
20200218-56,-7.22021660649819,0
20200124-60712,-2.27703984819734,-1
20200625-8968,-0.694444444444444,-1
20200630-7569,1.28755364806867,0
20200406-26239,-2.40963855421687,-1
20200319-75775,-1.94174757281553,0
20200617-87837,-7.32984293193717,-1
20200526-82324,-2.69503546099291,-1
20200328-37066,-3.47624565469293,-1
20200722-62668,-2.96296296296296,-1
20200721-48608,0.28169014084507,0
20200405-41120,-1.8421052631579,-1
20200504-3216,1.40280561122244,0
20200901-11793,-0.4739336492891,0
20200708-83045,-3.42823939570017,0
20200416-39756,-6.47985989492119,-1
20200414-66164,-1.86335403726708,1
20200508-18896,-2.9296875,0
20200618-72281,2.73504273504273,0
20200328-33443,0.0,-1
20200721-14229,0.75046904315197,1
20200421-34471,3.88768898488121,1
20200402-47821,-1.58550396375991,1
20200615-48943,-1.26146788990826,1
20200331-39020,-9.01639344262295,-1
20200318-61097,-3.28638497652582,-1
20200716-31464,0.0,1
20200129-69273,0.549450549450549,-1
20200519-24628,-1.41643059490085,-1
20200402-93078,-3.81526104417671,-1
20200325-47367,-4.64601769911504,-1
20200323-34224,-12.1157323688969,-1
20200524-40694,-7.92682926829268,-1
20200904-64970,-4.07938257993385,1
20200729-69650,-1.77777777777778,1
20200811-75776,-5.30401034928849,-1
20200621-44783,-2.21674876847291,1
20200422-61798,-4.69798657718121,-1
20200715-41795,-1.25673249551167,0
20200427-41523,-3.02114803625378,1
20200513-43798,-2.70793036750484,1
20200923-46386,-0.743494423791822,0
20200703-72895,-2.1680216802168,-1
20200720-29612,-3.20088300220751,-1
20200723-21335,-4.52920143027414,-1
20200812-7579,-2.84810126582279,-1
20200225-67858,-3.43698854337152,-1
20200304-84713,-2.05128205128205,-1
20200930-62621,-1.47710487444609,1
20200717-49866,-2.19123505976096,0
20200723-58469,-5.67375886524823,-1
20200519-90061,0.294985250737463,0
20200708-14012,-5.44692737430168,-1
20200418-31236,1.88866799204771,0
20200825-48884,-7.4,-1
20200413-3442,-4.24929178470255,-1
20200316-86175,-0.970873786407767,1
20200523-9601,-2.71739130434783,-1
20200731-32418,1.6025641025641,1
20200125-51464,-5.77689243027888,-1
20200204-41765,-3.43839541547278,0
20200522-74530,-0.25974025974026,1
20200521-91132,-4.81550969355847,1
20200421-21845,-3.97111913357401,-1
20200428-31614,-3.63636363636364,1
20200625-56671,-2.23463687150838,1
20200508-21302,0.793650793650794,-1
20200912-52190,-2.82208588957055,0
20200601-63031,-1.30718954248366,0
20200418-39869,-2.55795363709033,-1
20200528-88547,3.86740331491713,1
20200608-62021,-5.55555555555556,-1
20200314-19730,-4.24242424242424,-1
20200407-63515,0.446428571428572,-1
20200601-27171,-1.81132075471698,0
20200310-32234,-1.35135135135135,1
20200909-67079,-3.03030303030303,-1
20200815-47694,0.183823529411764,1
20200913-19278,-3.90625,1
20200428-22536,-3.7463976945245,1
20200529-74249,0.0,1
20200520-14827,-1.92982456140351,0
20200929-60294,-6.46067415730337,1
20200903-88467,-2.03094777562863,0
20200208-41789,1.15384615384615,0
20200416-64393,-3.05635148042025,-1
20200706-9445,-7.1264367816092,-1
20200411-47950,-2.4346257889991,0
20200721-8666,-9.63855421686747,-1
20200313-63261,-1.33630289532294,1
20200806-86623,0.530503978779841,1
20200423-48804,-2.9126213592233,-1
20200320-61595,0.0,1
20200529-46384,-1.36986301369863,1
20200414-91350,-2.35162374020157,-1
20200309-69362,-1.1889035667107,-1
20200521-85750,0.0,0
20200428-91901,-1.17773019271949,1
20200516-15295,-2.85714285714286,0
20200606-6730,-3.47639484978541,-1
20200328-32536,0.943396226415094,1
20200714-63262,-0.75187969924812,0
20200829-33069,-3.47694633408919,-1
20200627-34262,-3.15015750787539,1
20200918-77425,-2.08768267223382,0
20200428-2241,-3.16455696202532,-1
20200331-52127,0.347463516330785,0
20200430-50783,-3.67647058823529,0
20200608-73498,-3.00353356890459,-1
20200709-94989,-1.29659643435981,0
20200328-10223,-2.58064516129032,-1
20200608-74948,-4.94061757719715,-1
20200422-88948,0.888888888888889,0
20200923-54501,0.828402366863905,0
20200603-67553,2.3943661971831,0
20200324-12733,-3.03413400758534,-1
20200822-32668,-3.58680057388809,-1
20200711-46946,-2.07182320441989,0
20200627-20402,-0.632911392405064,1
20200326-31407,-0.512820512820514,0
20200207-48488,-6.42105263157895,-1
20200808-27493,2.43161094224924,1
20200829-15856,0.0,-1
20200328-3031,-2.3132848645076,-1
20200715-20171,-0.720164609053498,-1
20200218-91040,-2.11360634081902,-1
20200903-62851,6.88816855753647,1
20200811-2297,-1.95439739413681,1
20200714-48530,-4.21052631578947,-1
20200731-25237,-1.18577075098814,0
20200306-61058,-4.15430267062315,-1
20200812-79776,3.0511060259344,1
20200505-87814,-0.684261974584555,-1
20200503-1856,0.0,1
20200331-1651,1.29277566539924,0
20200810-33994,0.44150110375276,0
20200229-39417,-2.38095238095238,-1
20200428-65696,-4.0885860306644,-1
20200409-5906,-3.2258064516129,-1
20200718-49780,4.83592400690846,1
20200711-49833,-0.425531914893617,1
20200507-58210,-0.529100529100529,0
20200708-39815,-5.14705882352941,-1
20200410-41911,0.29806259314456,0
20200522-88272,-2.82220131702728,-1
20200727-50069,-3.8961038961039,-1
20200312-68609,-4.05405405405405,0
20200603-54360,0.378310214375788,-1
20200710-49599,-0.431034482758621,0
20200529-23138,-0.405679513184584,-1
20200608-53582,-6.08108108108108,-1
20200131-74469,-1.94174757281553,-1
20200620-25348,-4.95750708215297,-1
20200423-38562,-1.72413793103448,1
20200608-63129,-0.840336134453782,1
20200506-23503,-2.43055555555556,1
20200210-45663,-1.85497470489039,-1
20200511-80497,-2.9126213592233,-1
20200306-5828,-2.6948989412897,-1
20200327-25328,-4.3010752688172,0
20200929-81499,3.10825294748124,1
20200601-5439,-1.92837465564738,0
20200710-63168,-1.12179487179487,-1
20200420-7630,2.50447227191413,1
20200627-26321,-1.97368421052632,1
20200930-81067,-5.21541950113379,0
20200804-14961,0.584795321637427,0
20200407-86303,1.70940170940171,-1
20200506-88499,1.37931034482759,0
20200415-98953,0.321027287319422,1
20200819-66499,-3.20754716981132,-1
20200719-23353,-1.8970189701897,-1
20200512-66277,-1.4018691588785,0
20200608-21505,-5.52325581395349,-1
20200716-94054,-2.63157894736842,1
20200725-4063,-0.495867768595041,-1
20200503-6369,-0.906344410876133,0
20200415-60628,-2.36686390532544,-1
20200315-51564,0.206185567010309,1
20200727-57751,2.03252032520325,1
20200514-20325,0.0,-1
20200320-93685,-3.3195020746888,-1
20200617-4920,0.364298724954462,1
20200515-45485,-4.98442367601246,-1
20200904-49443,2.04326923076923,1
20200728-58718,1.69230769230769,1
20200504-51577,-0.232018561484919,1
20200320-46025,-5.33562822719449,-1
20200822-32013,-1.06951871657754,0
20200710-13208,-1.4344262295082,0
20200911-9784,-1.36585365853659,1
20200312-46460,0.455580865603645,1
20200702-8559,-4.32098765432099,0
20200806-32397,0.0,-1
20200919-19701,-1.66666666666667,1
20200319-58763,-5.59006211180124,-1
20200819-26799,0.0,1
20200909-62026,6.45161290322581,0
20200418-54259,-2.10772833723653,0
20200409-77960,-2.83783783783784,1
20200803-22569,3.1210986267166,1
20200404-52512,-1.93236714975845,-1
20200717-46231,-2.47524752475248,1
20200731-34752,-3.05164319248826,-1
20200827-76716,-2.12765957446809,1
20200729-96110,-2.04290091930541,-1
20200720-16429,-1.66898470097357,1
20200327-13519,-0.33112582781457,1
20200323-1828,-3.06122448979592,1
20200327-23657,-7.87671232876712,-1
20200510-24981,3.00957592339261,1
20200814-55839,-1.83968462549277,-1
20200211-12801,-4.8469387755102,-1
20200804-75484,-5.26315789473684,-1
20200724-14873,-1.36487716105551,0
20200812-6493,-2.13333333333333,-1
20200326-18643,-2.08012326656394,1
20200731-40316,-0.610997963340122,-1
20200505-87539,-5.50660792951542,-1
20200723-21130,-0.82063305978898,-1
20200402-14948,-3.55871886120996,-1
20200519-2031,-3.91459074733096,0
20200821-67105,2.47933884297521,1
20200714-55643,-1.61290322580645,0
20200731-60829,-2.04460966542751,1
20200318-27706,0.0,1
20200521-77560,2.27272727272727,0
20200323-27126,-4.81751824817518,-1
20200109-16119,-4.60720614294152,-1
20200825-83767,0.515463917525773,1
20200618-84902,-0.480769230769231,1
20200813-64806,-1.2,0
20200617-16276,-1.14503816793893,-1
20200312-45067,0.871080139372822,-1
20200301-24851,-2.89435600578871,-1
20200306-49357,-1.60714285714286,-1
20200812-12733,-0.726744186046512,-1
20200520-32272,0.549450549450549,0
20200704-29607,-9.6234309623431,-1
20200721-89203,-3.79965457685665,1
20200430-97834,-4.49438202247191,-1
20200802-35464,-3.22307039864292,-1
20200520-78299,-4.91803278688525,-1
20200401-21279,-1.04347826086957,1
20200917-67165,0.382409177820267,1
20200821-71279,-6.14754098360656,-1
20200724-67278,-1.61163522012579,0
20200828-11213,-2.98507462686567,-1
20200716-36399,-4.83383685800604,-1
20200601-46782,1.78861788617886,1
20200603-68554,0.0,1
20200830-21338,-3.40909090909091,-1
20200814-9573,0.578034682080925,0
20200902-16179,-2.15827338129496,-1
20200318-91186,-0.304878048780488,1
20200413-56682,-1.07296137339056,-1
20200414-81364,-1.12866817155756,1
20200802-16065,2.56410256410256,1
20200429-88231,-4.61538461538461,-1
20200713-20798,-3.16831683168317,-1
20200318-92913,-3.93700787401575,-1
20200630-21413,-7.34856007944389,0
20200605-10136,-1.66666666666667,1
20200313-91507,-9.28792569659443,-1
20200928-59709,0.0,-1
20200820-93740,2.19206680584551,0
20200318-52272,-4.58302028549963,-1
20200501-35128,-4.24242424242424,-1
20200701-62322,2.66393442622951,1
20200422-97860,-2.12454212454212,-1
20200905-23146,-1.21739130434783,-1
20200726-30614,-6.57726692209451,-1
20200524-18392,-0.657894736842105,-1
20200305-17909,-3.80952380952381,-1
20200926-4177,-1.08695652173913,0
20200817-76789,-1.00430416068867,-1
20200416-61865,-3.62694300518135,-1
20200428-1044,-1.53452685421995,0
20200519-59064,-3.79746835443038,0
20200705-26645,-0.35650623885918,0
20200702-33071,1.38674884437596,0
20200416-6444,-4.20168067226891,-1
20200723-68727,-6.53846153846154,-1
20200325-75871,1.91387559808612,0
20200707-33730,-4.74576271186441,-1
20200526-40606,-1.52173913043478,-1
20200801-36920,-0.420168067226891,0
20200718-47115,0.0,-1
20200519-43263,0.806451612903226,-1
20200711-14284,-3.04878048780488,-1
20200922-41971,3.86847195357834,1
20200620-41818,-5.0,1
20200209-25870,-7.47330960854093,-1
20200516-18264,2.39520958083832,1
20200825-68757,-1.95852534562212,-1
20200811-63109,3.38409475465313,1
20200528-73259,-3.13953488372093,-1
20200409-97097,-2.87907869481766,1
20200204-74078,-6.10328638497653,-1
20200425-44226,2.08845208845209,0
20200607-10727,-2.0066889632107,-1
20200912-1704,-1.47559591373439,0
20200227-63988,-3.76134889753567,-1
20200513-82398,-3.125,0
20200216-33728,1.58730158730159,-1
20200625-83208,2.65848670756646,0
20200410-10035,-1.32379248658318,0
20200318-53989,-4.49533502968617,-1
20200319-63776,-4.91978609625669,-1
20200525-14206,-2.8735632183908,0
20200228-58048,5.26315789473684,1
20200827-1367,2.55536626916525,0
20200806-91301,0.538793103448276,0
20200721-25973,3.61958836053939,0
20200915-43032,2.77442702050663,1
20200722-40329,-2.56410256410256,-1
20200912-38185,-4.09836065573771,-1
20200412-38995,-2.59128386336867,-1
20200630-68738,-4.17910447761194,1
20200828-63385,0.987654320987655,1
20200601-57445,-2.80649926144756,1
20200806-17477,0.508259212198221,-1
20200828-39807,0.421940928270042,1
20200613-35073,8.70535714285714,1
20200221-3631,-3.3457249070632,-1
20200807-23831,-1.58102766798419,-1
20200225-11304,-1.18279569892473,-1
20200901-85185,-2.31923601637108,0
20200619-51051,-1.53846153846154,0
20200921-14373,-2.41286863270777,-1
20200831-48970,1.21130551816958,1
20200311-31074,-3.56652949245542,0
20200729-34323,1.74311926605505,0
20200903-87281,4.58937198067633,0
20200504-71699,-2.77185501066098,1
20200212-64165,-2.20125786163522,-1
20200611-80291,3.36842105263158,1
20200307-26134,-1.41509433962264,-1
20200404-17030,-1.20879120879121,1
20200730-61372,1.74418604651163,1
20200303-15452,-1.43884892086331,0
20200403-44539,-1.53846153846154,-1
20200504-57870,-3.08788598574822,-1
20200712-12199,-4.14746543778802,-1
20200903-5444,-2.39130434782609,-1
20200402-82152,-4.19075144508671,-1
20200728-62726,1.50753768844221,-1
20200302-1049,-7.04070407040704,-1
20200225-58289,-5.77342047930283,-1
20200327-39420,-3.53982300884956,0
20200415-22813,-4.35943060498221,-1
20200427-24372,0.587084148727984,1
20200210-42971,-2.00573065902579,-1
20200706-39507,-0.441501103752759,1
20200611-32975,-2.0,-1
20200616-76284,-3.5230352303523,-1
20200624-73890,-1.97044334975369,-1
20200321-55972,-4.65116279069767,-1
20200802-13835,3.26086956521739,1
20200717-22485,4.08921933085502,1
20200917-36738,2.8391167192429,1
20200521-89580,-7.49063670411985,-1
20200617-65173,0.0,-1
20200807-77872,0.928074245939675,-1
20200623-52458,-1.45530145530146,-1
20200516-9640,-0.163265306122449,1
20200922-20615,-3.49127182044888,-1
20200130-51465,-4.11734431291817,1
20200726-3573,2.08768267223382,1
20200318-9892,-4.35967302452316,-1
20200206-24689,-1.62932790224033,1
20200411-3204,-2.90322580645161,-1
20200807-78701,-1.20481927710843,-1
20200911-6838,-3.71287128712871,-1
20200830-17823,1.53061224489796,1
20200410-25380,-2.11640211640212,-1
20200315-11778,-4.81927710843374,-1
20200804-47045,0.590841949778434,1
20200405-31372,-4.7808764940239,-1
20200609-75381,-2.50965250965251,-1
20200730-61036,1.22448979591837,0
20200812-74691,0.0,-1
20200411-2150,-2.52951096121417,-1
20200422-59900,-1.59453302961276,-1
20200402-61872,-11.0236220472441,-1
20200714-68376,1.27737226277372,-1
20200913-33607,0.502008032128514,1
20200410-10300,-1.79682100898411,-1
20200726-17200,-0.451807228915663,0
20200326-75384,-3.29218106995885,-1
20200219-23259,-4.29184549356223,0
20200911-28878,-2.76243093922652,0
20200711-48802,4.56989247311828,0
20200319-68550,-2.25694444444444,0
20200309-62459,0.446428571428571,1
20200511-63940,-3.37209302325581,-1
20200212-55214,1.32890365448505,0
20200406-73628,-4.79452054794521,-1
